../bba/Open_and_Rebid.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
128   S  2C-S        90          T97.KT732.94.AQ7 843.AJ98.A753.T5 AJ6.4.KQT86.KJ98 KQ52.Q65.J2.6432 | 1D-P-1H-P-2C
129   S  3N-N       400          KQ86.A654.J54.54 JT42.KJT.T9.KJT2 9.Q32.AK873.AQ87 A753.987.Q62.963 | 1D-P-1H-P-2C-P-2D-P-3D-P-3N
130   S  3D-S       130          9.KQJ92.52.AJ742 KT3.A64.987.Q953 QJ874.8.KQJT43.K A652.T753.A6.T86 | 1D-P-1H-P-1S-P-2C-P-2S-P-3D
131   S  1N-S       120          QT6.87652.K32.Q5 AK74.JT9.Q85.984 82.A3.A964.AKT76 J953.KQ4.JT7.J32 | 1C-P-1H-P-1N
132   S  2C-S      -100          AT95.Q8432.A2.86 QJ62.96.8543.KQ3 3.AK7.KQT96.9742 K874.JT5.J7.AJT5 | 1D-P-1H-P-2C
133   S  3N-S       600          QT82.KJ6543.AJ5. K3.QT2.T863.AJ93 A94.9.KQ92.KQT42 J765.A87.74.8765 | 1C-P-1H-P-1N-P-3H-P-3N
134   S  2H-N       -50          J7.AKJ986.T8.752 K964.T2.AK93.T43 AQ3.5.Q7642.QJ86 T852.Q743.J5.AK9 | 1D-P-1H-P-2C-P-2H
135   S  3N-S       600          KQJ98.64.KT42.Q7 A642.JT87.A3.965 .K932.Q765.AKJT8 T753.AQ5.J98.432 | 1C-P-1S-P-1N-P-2D-P-2H-P-3N
136   S  2N-S       120          AJ863.T52.9.KQ85 QT42.A98.852.JT7 K9.K76.AQJT3.964 75.QJ43.K764.A32 | 1D-P-1S-P-1N-P-2C-P-2N
137   S  1N-S        90          654.KQ98.Q64.T32 JT97.A752.32.A97 Q83.J.AJT9.KQJ84 AK2.T643.K875.65 | 1C-P-1H-P-1N
138   S  2D-S       130          J974.AKT95.Q87.2 A862.Q32.3.JT754 K.86.J9652.AKQ83 QT53.J74.AKT4.96 | 1D-P-1H-P-2C-P-2D
139   S  3N-N       400          Q654.KQ643.A5.97 T973.T875.T4.AT2 AJ.J.KQ963.KJ843 K82.A92.J872.Q65 | 1D-P-1H-P-2C-P-2N-P-3N
140   S  3N-N       630          K865.Q732.AJ65.J AT32.J65.73.K842 Q.AT.KT982.AQT93 J974.K984.Q4.765 | 1D-P-1H-P-2C-P-2N-P-3N
141   S  3S-N       140          K9873.QJ953.3.92 QJ.A864.K654.654 A54.T.QT82.AKQT7 T62.K72.AJ97.J83 | 1C-P-1S-P-1N-P-2H-P-3S
142   S  3N-N       400          J642.KT632.Q62.A T75.A984.54.J974 AQ8..KJ983.KQ863 K93.QJ75.AT7.T52 | 1D-P-1H-P-2C-P-2D-P-3D-P-3N
143   S  1N-S       120          AKQ7.9853.964.87 T54.KT64.KT8.542 83.AJ.AJ53.AJT96 J962.Q72.Q72.KQ3 | 1C-P-1H-P-1N
144   S  1N-N       120          A72.T832.654.A94 543.Q6.Q872.KJ65 KQT9.KJ7.KT9.Q87 J86.A954.AJ3.T32 | 1C-P-1H-P-1S-P-1N
145   S  1N-S        90          J4.AJ42.QT2.J642 AT63.Q985.753.A3 KQ7.T.AJ94.K9875 9852.K763.K86.QT | 1C-P-1H-P-1N
146   S  1N-S        90          T873.J743.AJ8.K4 Q654.AK2.762.JT3 A9.QT.KT43.Q9652 KJ2.9865.Q95.A87 | 1C-P-1H-P-1N
